Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000001,Male,Yes,0,Graduate,No,36778,11356,62038,300,0.0,Semiurban,N
LP000002,Female,Yes,1,Graduate,No,39621,3407,47653,120,1.0,Semiurban,N
LP000003,Female,Yes,2,Graduate,No,37547,14889,148976,360,1.0,Semiurban,N
LP000004,Male,No,2,Graduate,No,28388,15079,71009,12,1.0,Rural,Y
LP000005,Male,Yes,2,Graduate,No,23899,4749,96399,36,,Semiurban,Y
LP000006,Male,Yes,1,Graduate,No,24568,8321,60768,12,1.0,Rural,N
LP000007,Male,No,1,Graduate,No,23933,13073,32522,60,1.0,Urban,Y
LP000008,Female,No,2,Graduate,No,53117,6998,92505,120,0.0,Semiurban,N
LP000009,Male,No,0,Graduate,Yes,38412,17172,31066,180,1.0,Rural,Y
LP000010,Female,No,1,Not Graduate,No,4609,42391,78095,12,1.0,Semiurban,N
LP000011,Male,Yes,0,Not Graduate,Yes,39876,4674,40775,300,1.0,Semiurban,N
LP000012,Female,Yes,3+,Graduate,Yes,30237,3081,218302,240,0.0,Urban,N
LP000013,Female,No,3+,Not Graduate,No,26602,10023,127475,60,0.0,Urban,Y
LP000014,Male,No,0,Graduate,Yes,21309,13427,85210,36,1.0,Semiurban,N
LP000015,Male,Yes,2,Graduate,No,52810,6893,152033,60,0.0,Urban,Y
LP000016,Male,Yes,3+,Graduate,No,47501,22410,52936,36,1.0,Rural,N
LP000017,Male,Yes,0,Graduate,No,16920,3174,106057,36,0.0,Urban,N
LP000018,Male,No,1,Not Graduate,No,34345,13161,89313,120,1.0,Rural,N
LP000019,Male,No,3+,Graduate,Yes,15018,5302,92227,60,0.0,Rural,N
LP000020,Male,Yes,0,Not Graduate,No,11757,26999,152691,84,1.0,Urban,N
LP000021,Male,Yes,1,Graduate,No,18471,32687,116569,360,1.0,Urban,N
LP000022,Male,Yes,0,Not Graduate,No,45136,4737,93373,180,1.0,Rural,N
LP000023,Male,No,3+,Graduate,No,47661,5515,35332,300,1.0,Rural,N
LP000024,Male,No,3+,Graduate,Yes,36601,14790,50009,36,1.0,Semiurban,Y
LP000025,Male,No,3+,Graduate,No,41566,6179,76011,84,1.0,Urban,N
LP000026,Female,Yes,1,Graduate,No,36669,7849,84684,120,1.0,Semiurban,N
LP000027,Male,Yes,2,Graduate,No,18308,8248,45931,36,1.0,Semiurban,N
LP000028,Male,Yes,2,Graduate,No,34862,2113,269908,12,1.0,Urban,Y
LP000029,Male,Yes,0,Not Graduate,No,43488,8024,172507,180,1.0,Semiurban,Y
LP000030,Male,No,2,Graduate,No,42301,4999,109213,180,1.0,Urban,N
LP000031,Male,No,0,Graduate,No,54904,5737,83785,120,1.0,Urban,N
LP000032,Male,No,1,Graduate,No,41150,22259,72685,120,1.0,Urban,N
LP000033,Male,No,0,Graduate,No,33218,3362,50213,120,1.0,Urban,Y
LP000034,Female,Yes,0,Graduate,No,51128,14317,84014,12,1.0,Urban,Y
LP000035,Female,No,0,Graduate,No,26478,6665,91938,84,1.0,Semiurban,N
LP000036,Female,No,1,Graduate,No,15849,6661,43439,60,1.0,Urban,N
LP000037,Male,No,0,Graduate,Yes,24395,14090,95519,36,1.0,Urban,N
LP000038,Male,Yes,2,Graduate,No,17206,10280,74784,360,1.0,Urban,Y
LP000039,Female,Yes,0,Graduate,No,17941,12081,31135,120,1.0,Rural,N
LP000040,Male,Yes,0,Graduate,No,24668,15958,52565,180,1.0,Semiurban,N
LP000041,Male,No,1,Graduate,No,16723,6425,65722,84,0.0,Semiurban,N
LP000042,Male,Yes,2,Graduate,No,22364,5278,207698,84,1.0,Semiurban,Y
LP000043,Male,Yes,0,Graduate,No,8637,3791,106753,60,1.0,Rural,Y
LP000044,Female,Yes,1,Graduate,Yes,30576,4546,41450,36,1.0,Urban,Y
LP000045,Male,Yes,2,Not Graduate,No,26922,63854,103055,60,1.0,Semiurban,N
LP000046,Female,Yes,1,Graduate,No,16477,19366,37285,240,1.0,Semiurban,Y
LP000047,Male,Yes,0,Not Graduate,Yes,39956,3147,138877,180,1.0,Semiurban,N
LP000048,Male,Yes,0,Graduate,No,47218,3210,63859,120,1.0,Urban,N
LP000049,Male,Yes,2,Graduate,No,10254,11353,77124,120,1.0,Semiurban,N
LP000050,Male,No,0,Graduate,Yes,17023,11885,156826,300,1.0,Urban,Y
LP000051,Female,Yes,2,Not Graduate,No,16958,11899,42464,36,1.0,Semiurban,N
LP000052,Female,No,1,Graduate,No,15306,6778,40192,60,1.0,Semiurban,Y
LP000053,Female,Yes,3+,Not Graduate,No,44253,7421,60367,84,1.0,Urban,Y
LP000054,Female,Yes,2,Not Graduate,No,23949,10193,135834,240,1.0,Rural,N
LP000055,Male,No,3+,Graduate,No,22955,8605,37809,360,1.0,Urban,N
LP000056,Female,Yes,0,Graduate,No,8084,1713,19612,60,1.0,Rural,N
LP000057,Male,Yes,2,Graduate,No,39389,6899,64500,300,1.0,Semiurban,N
LP000058,Male,Yes,1,Graduate,No,12790,4464,106496,240,1.0,Urban,Y
LP000059,Male,No,1,Not Graduate,No,27888,9160,147285,60,1.0,Urban,N
LP000060,Male,Yes,1,Not Graduate,No,31774,65491,64114,84,1.0,Rural,Y
LP000061,Male,No,2,Graduate,Yes,60863,10480,65794,120,,Urban,Y
LP000062,Male,Yes,3+,Graduate,No,12267,6506,143911,360,1.0,Urban,N
LP000063,Female,Yes,2,Not Graduate,No,4395,15448,31733,60,1.0,Urban,N
LP000064,Male,Yes,1,Graduate,No,30040,11360,66552,240,1.0,Semiurban,N
LP000065,Male,Yes,1,Not Graduate,Yes,79245,10873,88895,84,1.0,Semiurban,Y
LP000066,Male,Yes,2,Graduate,No,56577,12391,101175,180,1.0,Urban,Y
LP000067,Male,Yes,0,Graduate,No,30509,34186,62636,120,1.0,Urban,N
LP000068,Female,Yes,0,Graduate,No,20030,3671,82225,120,0.0,Urban,N
LP000069,Male,No,0,Graduate,No,43663,11288,23291,240,1.0,Urban,Y
LP000070,Female,Yes,0,Graduate,No,15001,4236,58155,240,1.0,Semiurban,N
LP000071,Female,Yes,0,Graduate,No,35803,11954,101392,300,1.0,Semiurban,N
LP000072,Male,No,0,Graduate,No,36434,4259,49456,36,1.0,Urban,N
LP000073,Male,Yes,0,Graduate,No,50824,6050,83240,180,1.0,Urban,N
LP000074,Female,Yes,0,Not Graduate,No,140898,6590,101056,36,1.0,Urban,N
LP000075,Female,No,3+,Graduate,No,34045,16043,68099,120,1.0,Rural,N
LP000076,Female,No,1,Graduate,No,19823,15412,88012,120,1.0,Rural,Y
LP000077,Female,Yes,0,Graduate,No,26493,3388,49942,120,1.0,Rural,N
LP000078,Male,No,1,Graduate,No,9307,8420,72889,120,1.0,Urban,Y
LP000079,Male,Yes,0,Graduate,No,17732,4930,109656,360,1.0,Urban,N
LP000080,Male,Yes,3+,Graduate,No,21045,3357,87420,36,1.0,Urban,Y
LP000081,Female,Yes,2,Graduate,Yes,19644,6961,60278,180,1.0,Urban,N
LP000082,Male,No,0,Graduate,Yes,29478,6529,90409,84,1.0,Semiurban,Y
LP000083,Male,Yes,1,Graduate,No,16424,44298,115532,36,1.0,Rural,Y
LP000084,Male,Yes,2,Graduate,No,52713,10971,28999,60,1.0,Rural,Y
LP000085,Male,Yes,3+,Not Graduate,No,26906,3089,144283,300,1.0,Rural,Y
LP000086,Male,Yes,1,Graduate,No,26753,5457,68314,300,1.0,Urban,Y
LP000087,Female,Yes,1,Graduate,Yes,22098,16563,99981,300,1.0,Semiurban,Y
LP000088,Male,Yes,0,Graduate,No,29528,34958,147064,360,1.0,Urban,N
LP000089,Female,Yes,3+,Graduate,No,44137,2669,40707,60,1.0,Urban,Y
LP000090,Male,Yes,0,Graduate,No,15990,2173,56685,84,1.0,Semiurban,Y
LP000091,Male,Yes,3+,Graduate,No,18126,30021,69963,180,1.0,Urban,N
LP000092,Female,Yes,1,Not Graduate,No,22421,10643,54618,120,1.0,Semiurban,Y
LP000093,Female,Yes,1,Graduate,No,11997,4412,192426,120,0.0,Urban,N
LP000094,Male,Yes,1,Graduate,No,16455,11780,52660,84,1.0,Semiurban,N
LP000095,Female,No,0,Graduate,No,20216,1280,61219,120,0.0,Rural,N
LP000096,Male,Yes,0,Graduate,No,45462,8122,89517,120,0.0,Urban,N
LP000097,Male,Yes,0,Graduate,No,31493,10193,44308,60,1.0,Rural,N
LP000098,Male,Yes,0,Graduate,No,30216,15475,66314,120,1.0,Urban,N
LP000099,Male,Yes,2,Graduate,No,44825,3984,94724,120,1.0,Semiurban,Y
LP000100,Male,Yes,0,Not Graduate,No,24774,8603,68430,120,1.0,Semiurban,N
LP000101,Male,Yes,0,Graduate,No,34005,4239,77134,60,1.0,Semiurban,N
LP000102,Male,Yes,3+,Graduate,No,25287,9689,62027,180,1.0,Rural,N
LP000103,Male,Yes,2,Graduate,No,31546,4329,37902,12,1.0,Urban,N
LP000104,Male,Yes,3+,Graduate,No,18964,6089,94920,84,1.0,Semiurban,Y
LP000105,Female,Yes,3+,Graduate,No,6227,4035,194359,240,1.0,Semiurban,Y
LP000106,Male,Yes,0,Graduate,No,24820,12782,81568,120,1.0,Rural,Y
LP000107,Male,Yes,0,Graduate,No,63174,14778,90457,60,1.0,Urban,N
LP000108,Female,Yes,2,Not Graduate,No,46897,6875,114274,180,1.0,Rural,N
LP000109,Male,Yes,1,Graduate,No,48013,8322,42844,120,1.0,Semiurban,N
LP000110,Male,Yes,0,Graduate,No,56482,2939,189331,240,1.0,Urban,N
LP000111,Male,Yes,2,Not Graduate,Yes,28373,6569,89425,180,0.0,Semiurban,N
LP000112,Male,No,0,Graduate,No,30284,7823,182759,180,1.0,Urban,Y
LP000113,Female,Yes,0,Graduate,No,18571,50744,56021,120,0.0,Semiurban,N
LP000114,Female,Yes,1,Graduate,No,22255,3720,200592,36,1.0,Rural,N
LP000115,Male,No,1,Graduate,No,38927,22582,119083,60,,Semiurban,N
LP000116,Female,No,1,Graduate,No,55399,16281,106566,120,1.0,Semiurban,N
LP000117,Female,Yes,0,Not Graduate,No,24743,9862,90854,120,1.0,Semiurban,N
LP000118,Male,Yes,2,Graduate,No,20535,27751,71377,120,1.0,Urban,N
LP000119,Female,No,0,Graduate,Yes,26911,10514,147305,60,1.0,Urban,Y
LP000120,Male,No,0,Graduate,No,38589,10640,86697,12,1.0,Semiurban,Y
LP000121,Female,Yes,2,Graduate,No,11312,7807,30226,120,1.0,Urban,N
LP000122,Female,Yes,3+,Graduate,No,6783,19081,46231,60,0.0,Urban,Y
LP000123,Male,Yes,2,Graduate,No,19335,17457,73649,180,1.0,Semiurban,N
LP000124,Male,Yes,2,Not Graduate,No,12933,5229,94371,12,1.0,Urban,N
LP000125,Male,Yes,1,Graduate,No,19833,3218,78566,120,1.0,Urban,N
LP000126,Male,Yes,1,Graduate,No,24620,7029,148670,300,1.0,Semiurban,N
LP000127,Female,Yes,0,Graduate,No,20497,4628,30468,60,1.0,Urban,Y
LP000128,Female,No,1,Graduate,No,64310,7750,86837,120,1.0,Rural,Y
LP000129,Male,Yes,0,Graduate,No,32729,19268,32565,36,1.0,Rural,Y
LP000130,Male,Yes,0,Graduate,No,32218,5883,118167,180,1.0,Semiurban,N
LP000131,Male,No,2,Not Graduate,No,39078,7863,77093,120,1.0,Urban,N
